V1,MSD,taus,experiment
1,0.00247186432160804,0.21,180711_QuickCap_G1atU3Minus_02.csv
2,0.0038364494949495,0.42,180711_QuickCap_G1atU3Minus_02.csv
3,0.00493805583756345,0.63,180711_QuickCap_G1atU3Minus_02.csv
4,0.00549677040816327,0.84,180711_QuickCap_G1atU3Minus_02.csv
5,0.00602119487179487,1.05,180711_QuickCap_G1atU3Minus_02.csv
6,0.00605773195876289,1.26,180711_QuickCap_G1atU3Minus_02.csv
7,0.0068369689119171,1.47,180711_QuickCap_G1atU3Minus_02.csv
8,0.00738011458333333,1.68,180711_QuickCap_G1atU3Minus_02.csv
9,0.00830889005235602,1.89,180711_QuickCap_G1atU3Minus_02.csv
10,0.00926708947368421,2.1,180711_QuickCap_G1atU3Minus_02.csv
11,0.0100656984126984,2.31,180711_QuickCap_G1atU3Minus_02.csv
12,0.0106315159574468,2.52,180711_QuickCap_G1atU3Minus_02.csv
13,0.0111618609625668,2.73,180711_QuickCap_G1atU3Minus_02.csv
14,0.0115224193548387,2.94,180711_QuickCap_G1atU3Minus_02.csv
15,0.0121941945945946,3.15,180711_QuickCap_G1atU3Minus_02.csv
16,0.0130859619565217,3.36,180711_QuickCap_G1atU3Minus_02.csv
17,0.0139656229508197,3.57,180711_QuickCap_G1atU3Minus_02.csv
18,0.0140945,3.78,180711_QuickCap_G1atU3Minus_02.csv
19,0.014360729281768,3.99,180711_QuickCap_G1atU3Minus_02.csv
20,0.0146954555555556,4.2,180711_QuickCap_G1atU3Minus_02.csv
21,0.0151799608938547,4.41,180711_QuickCap_G1atU3Minus_02.csv
22,0.015697404494382,4.62,180711_QuickCap_G1atU3Minus_02.csv
23,0.0159837062146893,4.83,180711_QuickCap_G1atU3Minus_02.csv
24,0.0160714488636364,5.04,180711_QuickCap_G1atU3Minus_02.csv
25,0.0161704342857143,5.25,180711_QuickCap_G1atU3Minus_02.csv
26,0.0157934425287356,5.46,180711_QuickCap_G1atU3Minus_02.csv
27,0.015424450867052,5.67,180711_QuickCap_G1atU3Minus_02.csv
28,0.0157166337209302,5.88,180711_QuickCap_G1atU3Minus_02.csv
29,0.0161881052631579,6.09,180711_QuickCap_G1atU3Minus_02.csv
30,0.0166098705882353,6.3,180711_QuickCap_G1atU3Minus_02.csv
31,0.0168490236686391,6.51,180711_QuickCap_G1atU3Minus_02.csv
32,0.0171752261904762,6.72,180711_QuickCap_G1atU3Minus_02.csv
33,0.0169861437125748,6.93,180711_QuickCap_G1atU3Minus_02.csv
34,0.0170834096385542,7.14,180711_QuickCap_G1atU3Minus_02.csv
35,0.0169304606060606,7.35,180711_QuickCap_G1atU3Minus_02.csv
36,0.017198,7.56,180711_QuickCap_G1atU3Minus_02.csv
37,0.0175869141104294,7.77,180711_QuickCap_G1atU3Minus_02.csv
