V1,MSD,taus,experiment
1,0.0045921256281407,0.21,190314_QuickCap_G1atU3dn2_PlusI_02.csv
2,0.00785288383838384,0.42,190314_QuickCap_G1atU3dn2_PlusI_02.csv
3,0.0105310659898477,0.63,190314_QuickCap_G1atU3dn2_PlusI_02.csv
4,0.0130956632653061,0.84,190314_QuickCap_G1atU3dn2_PlusI_02.csv
5,0.0150793743589744,1.05,190314_QuickCap_G1atU3dn2_PlusI_02.csv
6,0.0169714484536082,1.26,190314_QuickCap_G1atU3dn2_PlusI_02.csv
7,0.0185355751295337,1.47,190314_QuickCap_G1atU3dn2_PlusI_02.csv
8,0.0201025208333333,1.68,190314_QuickCap_G1atU3dn2_PlusI_02.csv
9,0.021753942408377,1.89,190314_QuickCap_G1atU3dn2_PlusI_02.csv
10,0.0239027421052632,2.1,190314_QuickCap_G1atU3dn2_PlusI_02.csv
11,0.0253475873015873,2.31,190314_QuickCap_G1atU3dn2_PlusI_02.csv
12,0.026653585106383,2.52,190314_QuickCap_G1atU3dn2_PlusI_02.csv
13,0.0279096684491979,2.73,190314_QuickCap_G1atU3dn2_PlusI_02.csv
14,0.0298346720430108,2.94,190314_QuickCap_G1atU3dn2_PlusI_02.csv
15,0.0317056486486486,3.15,190314_QuickCap_G1atU3dn2_PlusI_02.csv
16,0.0334123152173913,3.36,190314_QuickCap_G1atU3dn2_PlusI_02.csv
17,0.0350136010928962,3.57,190314_QuickCap_G1atU3dn2_PlusI_02.csv
18,0.035807456043956,3.78,190314_QuickCap_G1atU3dn2_PlusI_02.csv
19,0.0362074309392265,3.99,190314_QuickCap_G1atU3dn2_PlusI_02.csv
20,0.0364657333333333,4.2,190314_QuickCap_G1atU3dn2_PlusI_02.csv
21,0.0363057318435754,4.41,190314_QuickCap_G1atU3dn2_PlusI_02.csv
22,0.036140106741573,4.62,190314_QuickCap_G1atU3dn2_PlusI_02.csv
23,0.0361577344632768,4.83,190314_QuickCap_G1atU3dn2_PlusI_02.csv
24,0.0356654488636364,5.04,190314_QuickCap_G1atU3dn2_PlusI_02.csv
25,0.0346779371428571,5.25,190314_QuickCap_G1atU3dn2_PlusI_02.csv
26,0.0339303333333333,5.46,190314_QuickCap_G1atU3dn2_PlusI_02.csv
27,0.0328362601156069,5.67,190314_QuickCap_G1atU3dn2_PlusI_02.csv
28,0.031838476744186,5.88,190314_QuickCap_G1atU3dn2_PlusI_02.csv
29,0.0303268245614035,6.09,190314_QuickCap_G1atU3dn2_PlusI_02.csv
30,0.0301299823529412,6.3,190314_QuickCap_G1atU3dn2_PlusI_02.csv
31,0.0299966449704142,6.51,190314_QuickCap_G1atU3dn2_PlusI_02.csv
32,0.0306497380952381,6.72,190314_QuickCap_G1atU3dn2_PlusI_02.csv
33,0.0311653113772455,6.93,190314_QuickCap_G1atU3dn2_PlusI_02.csv
34,0.0308882590361446,7.14,190314_QuickCap_G1atU3dn2_PlusI_02.csv
35,0.031447503030303,7.35,190314_QuickCap_G1atU3dn2_PlusI_02.csv
36,0.0321997256097561,7.56,190314_QuickCap_G1atU3dn2_PlusI_02.csv
37,0.0329665705521472,7.77,190314_QuickCap_G1atU3dn2_PlusI_02.csv
38,0.0330049320987654,7.98,190314_QuickCap_G1atU3dn2_PlusI_02.csv
39,0.0331016894409938,8.19,190314_QuickCap_G1atU3dn2_PlusI_02.csv
40,0.0339496,8.4,190314_QuickCap_G1atU3dn2_PlusI_02.csv
41,0.0344409308176101,8.61,190314_QuickCap_G1atU3dn2_PlusI_02.csv
42,0.0346670126582278,8.82,190314_QuickCap_G1atU3dn2_PlusI_02.csv
43,0.0352219681528662,9.03,190314_QuickCap_G1atU3dn2_PlusI_02.csv
44,0.0365439551282051,9.24,190314_QuickCap_G1atU3dn2_PlusI_02.csv
45,0.0380441548387097,9.45,190314_QuickCap_G1atU3dn2_PlusI_02.csv
46,0.0396668376623377,9.66,190314_QuickCap_G1atU3dn2_PlusI_02.csv
47,0.0414405620915033,9.87,190314_QuickCap_G1atU3dn2_PlusI_02.csv
48,0.0433746184210526,10.08,190314_QuickCap_G1atU3dn2_PlusI_02.csv
49,0.0451038013245033,10.29,190314_QuickCap_G1atU3dn2_PlusI_02.csv
50,0.0465844333333333,10.5,190314_QuickCap_G1atU3dn2_PlusI_02.csv
51,0.0479815436241611,10.71,190314_QuickCap_G1atU3dn2_PlusI_02.csv
52,0.0496054391891892,10.92,190314_QuickCap_G1atU3dn2_PlusI_02.csv
53,0.050578074829932,11.13,190314_QuickCap_G1atU3dn2_PlusI_02.csv
54,0.0522738904109589,11.34,190314_QuickCap_G1atU3dn2_PlusI_02.csv
55,0.0536844344827586,11.55,190314_QuickCap_G1atU3dn2_PlusI_02.csv
56,0.0563583194444445,11.76,190314_QuickCap_G1atU3dn2_PlusI_02.csv
57,0.059463965034965,11.97,190314_QuickCap_G1atU3dn2_PlusI_02.csv
58,0.0604432323943662,12.18,190314_QuickCap_G1atU3dn2_PlusI_02.csv
59,0.0619941347517731,12.39,190314_QuickCap_G1atU3dn2_PlusI_02.csv
60,0.0634545,12.6,190314_QuickCap_G1atU3dn2_PlusI_02.csv
61,0.0654014676258993,12.81,190314_QuickCap_G1atU3dn2_PlusI_02.csv
62,0.0670659057971014,13.02,190314_QuickCap_G1atU3dn2_PlusI_02.csv
63,0.0683158467153285,13.23,190314_QuickCap_G1atU3dn2_PlusI_02.csv
64,0.0695049852941177,13.44,190314_QuickCap_G1atU3dn2_PlusI_02.csv
65,0.0701022962962963,13.65,190314_QuickCap_G1atU3dn2_PlusI_02.csv
66,0.0709386791044776,13.86,190314_QuickCap_G1atU3dn2_PlusI_02.csv
67,0.0716195037593985,14.07,190314_QuickCap_G1atU3dn2_PlusI_02.csv
68,0.0719837121212121,14.28,190314_QuickCap_G1atU3dn2_PlusI_02.csv
69,0.0732701984732824,14.49,190314_QuickCap_G1atU3dn2_PlusI_02.csv
70,0.0737360692307692,14.7,190314_QuickCap_G1atU3dn2_PlusI_02.csv
71,0.0743189534883721,14.91,190314_QuickCap_G1atU3dn2_PlusI_02.csv
72,0.0744969140625,15.12,190314_QuickCap_G1atU3dn2_PlusI_02.csv
73,0.0742335748031496,15.33,190314_QuickCap_G1atU3dn2_PlusI_02.csv
74,0.0737590555555555,15.54,190314_QuickCap_G1atU3dn2_PlusI_02.csv
75,0.074378656,15.75,190314_QuickCap_G1atU3dn2_PlusI_02.csv
76,0.0760555161290322,15.96,190314_QuickCap_G1atU3dn2_PlusI_02.csv
77,0.0775350975609756,16.17,190314_QuickCap_G1atU3dn2_PlusI_02.csv
78,0.0789799836065574,16.38,190314_QuickCap_G1atU3dn2_PlusI_02.csv
79,0.0813482727272727,16.59,190314_QuickCap_G1atU3dn2_PlusI_02.csv
80,0.083599225,16.8,190314_QuickCap_G1atU3dn2_PlusI_02.csv
81,0.0857513193277311,17.01,190314_QuickCap_G1atU3dn2_PlusI_02.csv
82,0.0875411186440678,17.22,190314_QuickCap_G1atU3dn2_PlusI_02.csv
83,0.0883441025641026,17.43,190314_QuickCap_G1atU3dn2_PlusI_02.csv
84,0.0895121637931034,17.64,190314_QuickCap_G1atU3dn2_PlusI_02.csv
85,0.0915003913043478,17.85,190314_QuickCap_G1atU3dn2_PlusI_02.csv
86,0.0938510087719298,18.06,190314_QuickCap_G1atU3dn2_PlusI_02.csv
87,0.0957629292035398,18.27,190314_QuickCap_G1atU3dn2_PlusI_02.csv
88,0.0982862767857143,18.48,190314_QuickCap_G1atU3dn2_PlusI_02.csv
89,0.100685711711712,18.69,190314_QuickCap_G1atU3dn2_PlusI_02.csv
90,0.103114690909091,18.9,190314_QuickCap_G1atU3dn2_PlusI_02.csv
91,0.105421963302752,19.11,190314_QuickCap_G1atU3dn2_PlusI_02.csv
92,0.106533546296296,19.32,190314_QuickCap_G1atU3dn2_PlusI_02.csv
93,0.108399401869159,19.53,190314_QuickCap_G1atU3dn2_PlusI_02.csv
94,0.110173179245283,19.74,190314_QuickCap_G1atU3dn2_PlusI_02.csv
95,0.112447457142857,19.95,190314_QuickCap_G1atU3dn2_PlusI_02.csv
96,0.113860586538462,20.16,190314_QuickCap_G1atU3dn2_PlusI_02.csv
97,0.113880417475728,20.37,190314_QuickCap_G1atU3dn2_PlusI_02.csv
98,0.114835225490196,20.58,190314_QuickCap_G1atU3dn2_PlusI_02.csv
99,0.115267336633663,20.79,190314_QuickCap_G1atU3dn2_PlusI_02.csv
100,0.1166621,21,190314_QuickCap_G1atU3dn2_PlusI_02.csv
1,0.00537898994974874,0.21,190314_QuickCap_G1atU3dn2_PlusI_04.csv
2,0.00791929292929293,0.42,190314_QuickCap_G1atU3dn2_PlusI_04.csv
3,0.00930243147208122,0.63,190314_QuickCap_G1atU3dn2_PlusI_04.csv
4,0.0107231275510204,0.84,190314_QuickCap_G1atU3dn2_PlusI_04.csv
5,0.011397241025641,1.05,190314_QuickCap_G1atU3dn2_PlusI_04.csv
6,0.0127815515463917,1.26,190314_QuickCap_G1atU3dn2_PlusI_04.csv
7,0.013686689119171,1.47,190314_QuickCap_G1atU3dn2_PlusI_04.csv
8,0.0146865260416667,1.68,190314_QuickCap_G1atU3dn2_PlusI_04.csv
9,0.0158067748691099,1.89,190314_QuickCap_G1atU3dn2_PlusI_04.csv
10,0.0161151263157895,2.1,190314_QuickCap_G1atU3dn2_PlusI_04.csv
11,0.0168316031746032,2.31,190314_QuickCap_G1atU3dn2_PlusI_04.csv
12,0.0166703031914894,2.52,190314_QuickCap_G1atU3dn2_PlusI_04.csv
13,0.0177134171122995,2.73,190314_QuickCap_G1atU3dn2_PlusI_04.csv
14,0.018881876344086,2.94,190314_QuickCap_G1atU3dn2_PlusI_04.csv
15,0.0195346702702703,3.15,190314_QuickCap_G1atU3dn2_PlusI_04.csv
16,0.0198455108695652,3.36,190314_QuickCap_G1atU3dn2_PlusI_04.csv
17,0.019042606557377,3.57,190314_QuickCap_G1atU3dn2_PlusI_04.csv
18,0.0183741868131868,3.78,190314_QuickCap_G1atU3dn2_PlusI_04.csv
19,0.0182157071823204,3.99,190314_QuickCap_G1atU3dn2_PlusI_04.csv
20,0.0189596555555556,4.2,190314_QuickCap_G1atU3dn2_PlusI_04.csv
21,0.0191418156424581,4.41,190314_QuickCap_G1atU3dn2_PlusI_04.csv
22,0.0191387752808989,4.62,190314_QuickCap_G1atU3dn2_PlusI_04.csv
23,0.0197807627118644,4.83,190314_QuickCap_G1atU3dn2_PlusI_04.csv
24,0.0206704261363636,5.04,190314_QuickCap_G1atU3dn2_PlusI_04.csv
25,0.0213374114285714,5.25,190314_QuickCap_G1atU3dn2_PlusI_04.csv
26,0.0220146896551724,5.46,190314_QuickCap_G1atU3dn2_PlusI_04.csv
27,0.0227862485549133,5.67,190314_QuickCap_G1atU3dn2_PlusI_04.csv
28,0.0236946918604651,5.88,190314_QuickCap_G1atU3dn2_PlusI_04.csv
29,0.0242318245614035,6.09,190314_QuickCap_G1atU3dn2_PlusI_04.csv
30,0.0245777882352941,6.3,190314_QuickCap_G1atU3dn2_PlusI_04.csv
31,0.0257946923076923,6.51,190314_QuickCap_G1atU3dn2_PlusI_04.csv
32,0.0273092142857143,6.72,190314_QuickCap_G1atU3dn2_PlusI_04.csv
33,0.0287353113772455,6.93,190314_QuickCap_G1atU3dn2_PlusI_04.csv
34,0.0293894638554217,7.14,190314_QuickCap_G1atU3dn2_PlusI_04.csv
35,0.0306079090909091,7.35,190314_QuickCap_G1atU3dn2_PlusI_04.csv
36,0.0308017743902439,7.56,190314_QuickCap_G1atU3dn2_PlusI_04.csv
37,0.0312018466257669,7.77,190314_QuickCap_G1atU3dn2_PlusI_04.csv
38,0.0313903641975309,7.98,190314_QuickCap_G1atU3dn2_PlusI_04.csv
39,0.0315742919254658,8.19,190314_QuickCap_G1atU3dn2_PlusI_04.csv
40,0.0315885375,8.4,190314_QuickCap_G1atU3dn2_PlusI_04.csv
41,0.0319875597484277,8.61,190314_QuickCap_G1atU3dn2_PlusI_04.csv
42,0.0320931392405063,8.82,190314_QuickCap_G1atU3dn2_PlusI_04.csv
43,0.0319394394904459,9.03,190314_QuickCap_G1atU3dn2_PlusI_04.csv
44,0.0323559935897436,9.24,190314_QuickCap_G1atU3dn2_PlusI_04.csv
45,0.0323030838709677,9.45,190314_QuickCap_G1atU3dn2_PlusI_04.csv
46,0.0318118831168831,9.66,190314_QuickCap_G1atU3dn2_PlusI_04.csv
47,0.0318567124183006,9.87,190314_QuickCap_G1atU3dn2_PlusI_04.csv
48,0.0318334539473684,10.08,190314_QuickCap_G1atU3dn2_PlusI_04.csv
49,0.0316447218543046,10.29,190314_QuickCap_G1atU3dn2_PlusI_04.csv
50,0.0319084266666667,10.5,190314_QuickCap_G1atU3dn2_PlusI_04.csv
51,0.0314816040268456,10.71,190314_QuickCap_G1atU3dn2_PlusI_04.csv
52,0.0320198581081081,10.92,190314_QuickCap_G1atU3dn2_PlusI_04.csv
53,0.0317648843537415,11.13,190314_QuickCap_G1atU3dn2_PlusI_04.csv
54,0.0313519863013699,11.34,190314_QuickCap_G1atU3dn2_PlusI_04.csv
55,0.0320207103448276,11.55,190314_QuickCap_G1atU3dn2_PlusI_04.csv
56,0.0335074375,11.76,190314_QuickCap_G1atU3dn2_PlusI_04.csv
57,0.0345324055944056,11.97,190314_QuickCap_G1atU3dn2_PlusI_04.csv
58,0.035433176056338,12.18,190314_QuickCap_G1atU3dn2_PlusI_04.csv
59,0.0367688510638298,12.39,190314_QuickCap_G1atU3dn2_PlusI_04.csv
60,0.0374371214285714,12.6,190314_QuickCap_G1atU3dn2_PlusI_04.csv
61,0.0369859712230216,12.81,190314_QuickCap_G1atU3dn2_PlusI_04.csv
62,0.0381006304347826,13.02,190314_QuickCap_G1atU3dn2_PlusI_04.csv
63,0.0385009708029197,13.23,190314_QuickCap_G1atU3dn2_PlusI_04.csv
64,0.0390697573529412,13.44,190314_QuickCap_G1atU3dn2_PlusI_04.csv
65,0.0396501481481481,13.65,190314_QuickCap_G1atU3dn2_PlusI_04.csv
66,0.0386283731343283,13.86,190314_QuickCap_G1atU3dn2_PlusI_04.csv
67,0.0391895714285714,14.07,190314_QuickCap_G1atU3dn2_PlusI_04.csv
68,0.0398583636363636,14.28,190314_QuickCap_G1atU3dn2_PlusI_04.csv
69,0.0397889770992366,14.49,190314_QuickCap_G1atU3dn2_PlusI_04.csv
70,0.0399396153846154,14.7,190314_QuickCap_G1atU3dn2_PlusI_04.csv
71,0.0399868139534884,14.91,190314_QuickCap_G1atU3dn2_PlusI_04.csv
72,0.0407315703125,15.12,190314_QuickCap_G1atU3dn2_PlusI_04.csv
73,0.0405164803149606,15.33,190314_QuickCap_G1atU3dn2_PlusI_04.csv
74,0.0403846984126984,15.54,190314_QuickCap_G1atU3dn2_PlusI_04.csv
75,0.04168644,15.75,190314_QuickCap_G1atU3dn2_PlusI_04.csv
