V1,MSD,taus,experiment
1,0.00461820100502513,0.21,190122_QuickCap_G4BSatU3PlusH_01.csv
2,0.00687590909090909,0.42,190122_QuickCap_G4BSatU3PlusH_01.csv
3,0.00865273604060914,0.63,190122_QuickCap_G4BSatU3PlusH_01.csv
4,0.00995082653061224,0.84,190122_QuickCap_G4BSatU3PlusH_01.csv
5,0.011080758974359,1.05,190122_QuickCap_G4BSatU3PlusH_01.csv
6,0.0127342680412371,1.26,190122_QuickCap_G4BSatU3PlusH_01.csv
7,0.0135467409326425,1.47,190122_QuickCap_G4BSatU3PlusH_01.csv
8,0.0143464322916667,1.68,190122_QuickCap_G4BSatU3PlusH_01.csv
9,0.0148454607329843,1.89,190122_QuickCap_G4BSatU3PlusH_01.csv
10,0.0159172684210526,2.1,190122_QuickCap_G4BSatU3PlusH_01.csv
11,0.0166738941798942,2.31,190122_QuickCap_G4BSatU3PlusH_01.csv
12,0.0172245691489362,2.52,190122_QuickCap_G4BSatU3PlusH_01.csv
13,0.0178828556149733,2.73,190122_QuickCap_G4BSatU3PlusH_01.csv
14,0.0191245537634409,2.94,190122_QuickCap_G4BSatU3PlusH_01.csv
15,0.0197954810810811,3.15,190122_QuickCap_G4BSatU3PlusH_01.csv
16,0.0201622119565217,3.36,190122_QuickCap_G4BSatU3PlusH_01.csv
17,0.0209152240437158,3.57,190122_QuickCap_G4BSatU3PlusH_01.csv
18,0.0199284010989011,3.78,190122_QuickCap_G4BSatU3PlusH_01.csv
19,0.019985138121547,3.99,190122_QuickCap_G4BSatU3PlusH_01.csv
20,0.0206518388888889,4.2,190122_QuickCap_G4BSatU3PlusH_01.csv
21,0.0197821843575419,4.41,190122_QuickCap_G4BSatU3PlusH_01.csv
22,0.0198404831460674,4.62,190122_QuickCap_G4BSatU3PlusH_01.csv
23,0.0198138926553672,4.83,190122_QuickCap_G4BSatU3PlusH_01.csv
24,0.0196751193181818,5.04,190122_QuickCap_G4BSatU3PlusH_01.csv
25,0.0187642571428571,5.25,190122_QuickCap_G4BSatU3PlusH_01.csv
26,0.0183243275862069,5.46,190122_QuickCap_G4BSatU3PlusH_01.csv
27,0.0180722947976879,5.67,190122_QuickCap_G4BSatU3PlusH_01.csv
28,0.0172507790697674,5.88,190122_QuickCap_G4BSatU3PlusH_01.csv
29,0.0169354385964912,6.09,190122_QuickCap_G4BSatU3PlusH_01.csv
30,0.0163519647058824,6.3,190122_QuickCap_G4BSatU3PlusH_01.csv
31,0.0163094792899408,6.51,190122_QuickCap_G4BSatU3PlusH_01.csv
32,0.0162011547619048,6.72,190122_QuickCap_G4BSatU3PlusH_01.csv
33,0.0160749221556886,6.93,190122_QuickCap_G4BSatU3PlusH_01.csv
34,0.0156633012048193,7.14,190122_QuickCap_G4BSatU3PlusH_01.csv
35,0.0154283878787879,7.35,190122_QuickCap_G4BSatU3PlusH_01.csv
36,0.01522475,7.56,190122_QuickCap_G4BSatU3PlusH_01.csv
37,0.0151002576687117,7.77,190122_QuickCap_G4BSatU3PlusH_01.csv
38,0.0154838086419753,7.98,190122_QuickCap_G4BSatU3PlusH_01.csv
39,0.0157901677018634,8.19,190122_QuickCap_G4BSatU3PlusH_01.csv
40,0.0157012625,8.4,190122_QuickCap_G4BSatU3PlusH_01.csv
41,0.015781748427673,8.61,190122_QuickCap_G4BSatU3PlusH_01.csv
42,0.0168560126582279,8.82,190122_QuickCap_G4BSatU3PlusH_01.csv
43,0.0162162802547771,9.03,190122_QuickCap_G4BSatU3PlusH_01.csv
44,0.0165317948717949,9.24,190122_QuickCap_G4BSatU3PlusH_01.csv
45,0.0168911548387097,9.45,190122_QuickCap_G4BSatU3PlusH_01.csv
46,0.0177985779220779,9.66,190122_QuickCap_G4BSatU3PlusH_01.csv
47,0.0183705424836601,9.87,190122_QuickCap_G4BSatU3PlusH_01.csv
48,0.0183567960526316,10.08,190122_QuickCap_G4BSatU3PlusH_01.csv
49,0.0186595430463576,10.29,190122_QuickCap_G4BSatU3PlusH_01.csv
50,0.0195122866666667,10.5,190122_QuickCap_G4BSatU3PlusH_01.csv
51,0.0197868993288591,10.71,190122_QuickCap_G4BSatU3PlusH_01.csv
52,0.0200270405405405,10.92,190122_QuickCap_G4BSatU3PlusH_01.csv
53,0.0192582517006803,11.13,190122_QuickCap_G4BSatU3PlusH_01.csv
54,0.0196500410958904,11.34,190122_QuickCap_G4BSatU3PlusH_01.csv
55,0.0200807586206897,11.55,190122_QuickCap_G4BSatU3PlusH_01.csv
56,0.0198946805555556,11.76,190122_QuickCap_G4BSatU3PlusH_01.csv
57,0.0200963776223776,11.97,190122_QuickCap_G4BSatU3PlusH_01.csv
58,0.020326338028169,12.18,190122_QuickCap_G4BSatU3PlusH_01.csv
59,0.0204323546099291,12.39,190122_QuickCap_G4BSatU3PlusH_01.csv
60,0.0210464142857143,12.6,190122_QuickCap_G4BSatU3PlusH_01.csv
61,0.0203803741007194,12.81,190122_QuickCap_G4BSatU3PlusH_01.csv
62,0.0204076956521739,13.02,190122_QuickCap_G4BSatU3PlusH_01.csv
63,0.0200958467153285,13.23,190122_QuickCap_G4BSatU3PlusH_01.csv
64,0.0202809926470588,13.44,190122_QuickCap_G4BSatU3PlusH_01.csv
65,0.0208873407407407,13.65,190122_QuickCap_G4BSatU3PlusH_01.csv
66,0.0210987835820896,13.86,190122_QuickCap_G4BSatU3PlusH_01.csv
67,0.0217029097744361,14.07,190122_QuickCap_G4BSatU3PlusH_01.csv
68,0.0214979393939394,14.28,190122_QuickCap_G4BSatU3PlusH_01.csv
69,0.0213385877862595,14.49,190122_QuickCap_G4BSatU3PlusH_01.csv
70,0.0209317769230769,14.7,190122_QuickCap_G4BSatU3PlusH_01.csv
71,0.0203298217054264,14.91,190122_QuickCap_G4BSatU3PlusH_01.csv
72,0.020340265625,15.12,190122_QuickCap_G4BSatU3PlusH_01.csv
73,0.0212212440944882,15.33,190122_QuickCap_G4BSatU3PlusH_01.csv
74,0.0218998968253968,15.54,190122_QuickCap_G4BSatU3PlusH_01.csv
75,0.022269864,15.75,190122_QuickCap_G4BSatU3PlusH_01.csv
76,0.0233091290322581,15.96,190122_QuickCap_G4BSatU3PlusH_01.csv
77,0.023691674796748,16.17,190122_QuickCap_G4BSatU3PlusH_01.csv
78,0.024125,16.38,190122_QuickCap_G4BSatU3PlusH_01.csv
79,0.0231962892561983,16.59,190122_QuickCap_G4BSatU3PlusH_01.csv
80,0.023341175,16.8,190122_QuickCap_G4BSatU3PlusH_01.csv
81,0.0227750336134454,17.01,190122_QuickCap_G4BSatU3PlusH_01.csv
82,0.0230493728813559,17.22,190122_QuickCap_G4BSatU3PlusH_01.csv
83,0.0236504957264957,17.43,190122_QuickCap_G4BSatU3PlusH_01.csv
84,0.0233357155172414,17.64,190122_QuickCap_G4BSatU3PlusH_01.csv
85,0.0243410695652174,17.85,190122_QuickCap_G4BSatU3PlusH_01.csv
86,0.0246205438596491,18.06,190122_QuickCap_G4BSatU3PlusH_01.csv
87,0.0244822831858407,18.27,190122_QuickCap_G4BSatU3PlusH_01.csv
88,0.0246810625,18.48,190122_QuickCap_G4BSatU3PlusH_01.csv
89,0.024054981981982,18.69,190122_QuickCap_G4BSatU3PlusH_01.csv
90,0.0231269181818182,18.9,190122_QuickCap_G4BSatU3PlusH_01.csv
91,0.0235463944954128,19.11,190122_QuickCap_G4BSatU3PlusH_01.csv
92,0.0236708055555556,19.32,190122_QuickCap_G4BSatU3PlusH_01.csv
93,0.0237425887850467,19.53,190122_QuickCap_G4BSatU3PlusH_01.csv
94,0.0239074716981132,19.74,190122_QuickCap_G4BSatU3PlusH_01.csv
95,0.0248296,19.95,190122_QuickCap_G4BSatU3PlusH_01.csv
96,0.0249093557692308,20.16,190122_QuickCap_G4BSatU3PlusH_01.csv
97,0.0247498640776699,20.37,190122_QuickCap_G4BSatU3PlusH_01.csv
98,0.0247103235294118,20.58,190122_QuickCap_G4BSatU3PlusH_01.csv
99,0.0239662376237624,20.79,190122_QuickCap_G4BSatU3PlusH_01.csv
100,0.02400786,21,190122_QuickCap_G4BSatU3PlusH_01.csv
1,0.00873913567839196,0.21,190122_QuickCap_G4BSatU3PlusH_02.csv
2,0.012285196969697,0.42,190122_QuickCap_G4BSatU3PlusH_02.csv
3,0.0150287461928934,0.63,190122_QuickCap_G4BSatU3PlusH_02.csv
4,0.0184270408163265,0.84,190122_QuickCap_G4BSatU3PlusH_02.csv
5,0.0211473076923077,1.05,190122_QuickCap_G4BSatU3PlusH_02.csv
6,0.023321175257732,1.26,190122_QuickCap_G4BSatU3PlusH_02.csv
7,0.0254424870466321,1.47,190122_QuickCap_G4BSatU3PlusH_02.csv
8,0.0274637135416667,1.68,190122_QuickCap_G4BSatU3PlusH_02.csv
9,0.0291959738219895,1.89,190122_QuickCap_G4BSatU3PlusH_02.csv
10,0.0295923894736842,2.1,190122_QuickCap_G4BSatU3PlusH_02.csv
11,0.0315314920634921,2.31,190122_QuickCap_G4BSatU3PlusH_02.csv
12,0.0326701968085106,2.52,190122_QuickCap_G4BSatU3PlusH_02.csv
13,0.033366320855615,2.73,190122_QuickCap_G4BSatU3PlusH_02.csv
14,0.0327559301075269,2.94,190122_QuickCap_G4BSatU3PlusH_02.csv
15,0.0332580810810811,3.15,190122_QuickCap_G4BSatU3PlusH_02.csv
16,0.0327336576086957,3.36,190122_QuickCap_G4BSatU3PlusH_02.csv
17,0.0334032513661202,3.57,190122_QuickCap_G4BSatU3PlusH_02.csv
18,0.0344792747252747,3.78,190122_QuickCap_G4BSatU3PlusH_02.csv
19,0.0341911546961326,3.99,190122_QuickCap_G4BSatU3PlusH_02.csv
20,0.0340298222222222,4.2,190122_QuickCap_G4BSatU3PlusH_02.csv
21,0.0343292234636872,4.41,190122_QuickCap_G4BSatU3PlusH_02.csv
22,0.035440797752809,4.62,190122_QuickCap_G4BSatU3PlusH_02.csv
23,0.0364017683615819,4.83,190122_QuickCap_G4BSatU3PlusH_02.csv
24,0.0376090625,5.04,190122_QuickCap_G4BSatU3PlusH_02.csv
25,0.0396043942857143,5.25,190122_QuickCap_G4BSatU3PlusH_02.csv
26,0.0409844310344828,5.46,190122_QuickCap_G4BSatU3PlusH_02.csv
27,0.0428330404624277,5.67,190122_QuickCap_G4BSatU3PlusH_02.csv
28,0.0426948488372093,5.88,190122_QuickCap_G4BSatU3PlusH_02.csv
29,0.0429598128654971,6.09,190122_QuickCap_G4BSatU3PlusH_02.csv
30,0.0432608235294118,6.3,190122_QuickCap_G4BSatU3PlusH_02.csv
31,0.0443973727810651,6.51,190122_QuickCap_G4BSatU3PlusH_02.csv
32,0.0457540297619048,6.72,190122_QuickCap_G4BSatU3PlusH_02.csv
33,0.0464063652694611,6.93,190122_QuickCap_G4BSatU3PlusH_02.csv
34,0.0468390361445783,7.14,190122_QuickCap_G4BSatU3PlusH_02.csv
35,0.0460775515151515,7.35,190122_QuickCap_G4BSatU3PlusH_02.csv
36,0.0457551036585366,7.56,190122_QuickCap_G4BSatU3PlusH_02.csv
37,0.045033,7.77,190122_QuickCap_G4BSatU3PlusH_02.csv
38,0.0420851913580247,7.98,190122_QuickCap_G4BSatU3PlusH_02.csv
39,0.0402469440993789,8.19,190122_QuickCap_G4BSatU3PlusH_02.csv
40,0.03731244375,8.4,190122_QuickCap_G4BSatU3PlusH_02.csv
41,0.0367659685534591,8.61,190122_QuickCap_G4BSatU3PlusH_02.csv
42,0.0360359367088608,8.82,190122_QuickCap_G4BSatU3PlusH_02.csv
43,0.0364598343949045,9.03,190122_QuickCap_G4BSatU3PlusH_02.csv
44,0.0358509487179487,9.24,190122_QuickCap_G4BSatU3PlusH_02.csv
45,0.0361506322580645,9.45,190122_QuickCap_G4BSatU3PlusH_02.csv
46,0.0370285,9.66,190122_QuickCap_G4BSatU3PlusH_02.csv
47,0.0383949869281046,9.87,190122_QuickCap_G4BSatU3PlusH_02.csv
48,0.0387145855263158,10.08,190122_QuickCap_G4BSatU3PlusH_02.csv
49,0.0401555496688742,10.29,190122_QuickCap_G4BSatU3PlusH_02.csv
50,0.0400097066666667,10.5,190122_QuickCap_G4BSatU3PlusH_02.csv
51,0.0393556040268456,10.71,190122_QuickCap_G4BSatU3PlusH_02.csv
52,0.0395252567567568,10.92,190122_QuickCap_G4BSatU3PlusH_02.csv
53,0.0405005306122449,11.13,190122_QuickCap_G4BSatU3PlusH_02.csv
54,0.0400607808219178,11.34,190122_QuickCap_G4BSatU3PlusH_02.csv
55,0.0393350482758621,11.55,190122_QuickCap_G4BSatU3PlusH_02.csv
56,0.0387812152777778,11.76,190122_QuickCap_G4BSatU3PlusH_02.csv
57,0.0400358951048951,11.97,190122_QuickCap_G4BSatU3PlusH_02.csv
58,0.0398618943661972,12.18,190122_QuickCap_G4BSatU3PlusH_02.csv
59,0.0408162836879433,12.39,190122_QuickCap_G4BSatU3PlusH_02.csv
60,0.0408004857142857,12.6,190122_QuickCap_G4BSatU3PlusH_02.csv
61,0.040017273381295,12.81,190122_QuickCap_G4BSatU3PlusH_02.csv
62,0.0393190507246377,13.02,190122_QuickCap_G4BSatU3PlusH_02.csv
63,0.0394792773722628,13.23,190122_QuickCap_G4BSatU3PlusH_02.csv
64,0.0395716617647059,13.44,190122_QuickCap_G4BSatU3PlusH_02.csv
65,0.0400914,13.65,190122_QuickCap_G4BSatU3PlusH_02.csv
66,0.0410378208955224,13.86,190122_QuickCap_G4BSatU3PlusH_02.csv
67,0.0416663684210526,14.07,190122_QuickCap_G4BSatU3PlusH_02.csv
68,0.0426347348484849,14.28,190122_QuickCap_G4BSatU3PlusH_02.csv
69,0.0423459770992366,14.49,190122_QuickCap_G4BSatU3PlusH_02.csv
70,0.0417501,14.7,190122_QuickCap_G4BSatU3PlusH_02.csv
71,0.0408116279069767,14.91,190122_QuickCap_G4BSatU3PlusH_02.csv
72,0.04013053125,15.12,190122_QuickCap_G4BSatU3PlusH_02.csv
73,0.0403578661417323,15.33,190122_QuickCap_G4BSatU3PlusH_02.csv
74,0.0409452777777778,15.54,190122_QuickCap_G4BSatU3PlusH_02.csv
75,0.04081864,15.75,190122_QuickCap_G4BSatU3PlusH_02.csv
76,0.0404823467741936,15.96,190122_QuickCap_G4BSatU3PlusH_02.csv
77,0.0419730894308943,16.17,190122_QuickCap_G4BSatU3PlusH_02.csv
78,0.0430681147540984,16.38,190122_QuickCap_G4BSatU3PlusH_02.csv
79,0.043880520661157,16.59,190122_QuickCap_G4BSatU3PlusH_02.csv
80,0.0434918666666667,16.8,190122_QuickCap_G4BSatU3PlusH_02.csv
81,0.0424502605042017,17.01,190122_QuickCap_G4BSatU3PlusH_02.csv
82,0.0406352288135593,17.22,190122_QuickCap_G4BSatU3PlusH_02.csv
83,0.037991094017094,17.43,190122_QuickCap_G4BSatU3PlusH_02.csv
84,0.0372649913793103,17.64,190122_QuickCap_G4BSatU3PlusH_02.csv
85,0.0356876608695652,17.85,190122_QuickCap_G4BSatU3PlusH_02.csv
86,0.0343588245614035,18.06,190122_QuickCap_G4BSatU3PlusH_02.csv
