V1,MSD,taus,experiment
1,0.00779872361809045,0.21,181121_QuickCap_H4_MinusH_01.csv
2,0.0138859141414141,0.42,181121_QuickCap_H4_MinusH_01.csv
3,0.0181124822335025,0.63,181121_QuickCap_H4_MinusH_01.csv
4,0.0195204897959184,0.84,181121_QuickCap_H4_MinusH_01.csv
5,0.0207948256410256,1.05,181121_QuickCap_H4_MinusH_01.csv
6,0.0234097525773196,1.26,181121_QuickCap_H4_MinusH_01.csv
7,0.0262275751295337,1.47,181121_QuickCap_H4_MinusH_01.csv
8,0.0282752916666667,1.68,181121_QuickCap_H4_MinusH_01.csv
9,0.0300022303664921,1.89,181121_QuickCap_H4_MinusH_01.csv
10,0.0317442315789474,2.1,181121_QuickCap_H4_MinusH_01.csv
11,0.0343925132275132,2.31,181121_QuickCap_H4_MinusH_01.csv
12,0.0363446861702128,2.52,181121_QuickCap_H4_MinusH_01.csv
13,0.0375313422459893,2.73,181121_QuickCap_H4_MinusH_01.csv
14,0.0395073064516129,2.94,181121_QuickCap_H4_MinusH_01.csv
15,0.0420033027027027,3.15,181121_QuickCap_H4_MinusH_01.csv
16,0.044040125,3.36,181121_QuickCap_H4_MinusH_01.csv
17,0.0465827322404372,3.57,181121_QuickCap_H4_MinusH_01.csv
18,0.0478786868131868,3.78,181121_QuickCap_H4_MinusH_01.csv
19,0.0491344972375691,3.99,181121_QuickCap_H4_MinusH_01.csv
20,0.0507407,4.2,181121_QuickCap_H4_MinusH_01.csv
21,0.0515519329608939,4.41,181121_QuickCap_H4_MinusH_01.csv
22,0.0539571966292135,4.62,181121_QuickCap_H4_MinusH_01.csv
23,0.0556321016949152,4.83,181121_QuickCap_H4_MinusH_01.csv
24,0.0573838409090909,5.04,181121_QuickCap_H4_MinusH_01.csv
25,0.0582959771428571,5.25,181121_QuickCap_H4_MinusH_01.csv
26,0.0595168850574713,5.46,181121_QuickCap_H4_MinusH_01.csv
27,0.0615404797687861,5.67,181121_QuickCap_H4_MinusH_01.csv
28,0.0637560813953488,5.88,181121_QuickCap_H4_MinusH_01.csv
29,0.0640991871345029,6.09,181121_QuickCap_H4_MinusH_01.csv
30,0.0648756882352941,6.3,181121_QuickCap_H4_MinusH_01.csv
31,0.065540899408284,6.51,181121_QuickCap_H4_MinusH_01.csv
32,0.0677174761904762,6.72,181121_QuickCap_H4_MinusH_01.csv
33,0.0689639820359281,6.93,181121_QuickCap_H4_MinusH_01.csv
34,0.0682475,7.14,181121_QuickCap_H4_MinusH_01.csv
35,0.0680176060606061,7.35,181121_QuickCap_H4_MinusH_01.csv
36,0.06773925,7.56,181121_QuickCap_H4_MinusH_01.csv
37,0.0679814969325153,7.77,181121_QuickCap_H4_MinusH_01.csv
38,0.0679632530864197,7.98,181121_QuickCap_H4_MinusH_01.csv
39,0.0674868385093168,8.19,181121_QuickCap_H4_MinusH_01.csv
40,0.06597624375,8.4,181121_QuickCap_H4_MinusH_01.csv
41,0.0656552955974843,8.61,181121_QuickCap_H4_MinusH_01.csv
42,0.0649173860759494,8.82,181121_QuickCap_H4_MinusH_01.csv
43,0.0644907452229299,9.03,181121_QuickCap_H4_MinusH_01.csv
44,0.0635366153846154,9.24,181121_QuickCap_H4_MinusH_01.csv
45,0.0621236516129032,9.45,181121_QuickCap_H4_MinusH_01.csv
46,0.0611747792207792,9.66,181121_QuickCap_H4_MinusH_01.csv
47,0.0590584183006536,9.87,181121_QuickCap_H4_MinusH_01.csv
48,0.0596813947368421,10.08,181121_QuickCap_H4_MinusH_01.csv
49,0.0593305165562914,10.29,181121_QuickCap_H4_MinusH_01.csv
50,0.0582425733333333,10.5,181121_QuickCap_H4_MinusH_01.csv
51,0.0567856979865772,10.71,181121_QuickCap_H4_MinusH_01.csv
52,0.0548730675675676,10.92,181121_QuickCap_H4_MinusH_01.csv
53,0.0543044965986395,11.13,181121_QuickCap_H4_MinusH_01.csv
54,0.0529768356164384,11.34,181121_QuickCap_H4_MinusH_01.csv
55,0.0512746965517241,11.55,181121_QuickCap_H4_MinusH_01.csv
56,0.0496942638888889,11.76,181121_QuickCap_H4_MinusH_01.csv
57,0.0501026223776224,11.97,181121_QuickCap_H4_MinusH_01.csv
58,0.0524422957746479,12.18,181121_QuickCap_H4_MinusH_01.csv
59,0.053310085106383,12.39,181121_QuickCap_H4_MinusH_01.csv
60,0.0532032928571428,12.6,181121_QuickCap_H4_MinusH_01.csv
61,0.0511152302158273,12.81,181121_QuickCap_H4_MinusH_01.csv
62,0.0514083188405797,13.02,181121_QuickCap_H4_MinusH_01.csv
63,0.0506950802919708,13.23,181121_QuickCap_H4_MinusH_01.csv
64,0.0520921029411765,13.44,181121_QuickCap_H4_MinusH_01.csv
65,0.0530289259259259,13.65,181121_QuickCap_H4_MinusH_01.csv
66,0.0525709104477612,13.86,181121_QuickCap_H4_MinusH_01.csv
67,0.0512852932330827,14.07,181121_QuickCap_H4_MinusH_01.csv
68,0.0502678712121212,14.28,181121_QuickCap_H4_MinusH_01.csv
69,0.0492395419847328,14.49,181121_QuickCap_H4_MinusH_01.csv
70,0.0491451923076923,14.7,181121_QuickCap_H4_MinusH_01.csv
71,0.0492311705426357,14.91,181121_QuickCap_H4_MinusH_01.csv
72,0.0495085234375,15.12,181121_QuickCap_H4_MinusH_01.csv
73,0.0484122598425197,15.33,181121_QuickCap_H4_MinusH_01.csv
74,0.0470331904761905,15.54,181121_QuickCap_H4_MinusH_01.csv
75,0.04640024,15.75,181121_QuickCap_H4_MinusH_01.csv
76,0.0458450241935484,15.96,181121_QuickCap_H4_MinusH_01.csv
77,0.0460688780487805,16.17,181121_QuickCap_H4_MinusH_01.csv
78,0.0470059918032787,16.38,181121_QuickCap_H4_MinusH_01.csv
79,0.0479651652892562,16.59,181121_QuickCap_H4_MinusH_01.csv
80,0.0481977166666667,16.8,181121_QuickCap_H4_MinusH_01.csv
81,0.0482510756302521,17.01,181121_QuickCap_H4_MinusH_01.csv
82,0.0483538983050847,17.22,181121_QuickCap_H4_MinusH_01.csv
83,0.0498597521367521,17.43,181121_QuickCap_H4_MinusH_01.csv
84,0.0511227413793103,17.64,181121_QuickCap_H4_MinusH_01.csv
85,0.0527359826086957,17.85,181121_QuickCap_H4_MinusH_01.csv
86,0.0539002543859649,18.06,181121_QuickCap_H4_MinusH_01.csv
87,0.0545072654867257,18.27,181121_QuickCap_H4_MinusH_01.csv
88,0.0546727857142857,18.48,181121_QuickCap_H4_MinusH_01.csv
89,0.0563582792792793,18.69,181121_QuickCap_H4_MinusH_01.csv
90,0.0580142545454545,18.9,181121_QuickCap_H4_MinusH_01.csv
91,0.0593724036697248,19.11,181121_QuickCap_H4_MinusH_01.csv
92,0.0599005462962963,19.32,181121_QuickCap_H4_MinusH_01.csv
93,0.0611935420560748,19.53,181121_QuickCap_H4_MinusH_01.csv
94,0.0617151037735849,19.74,181121_QuickCap_H4_MinusH_01.csv
95,0.0627901142857143,19.95,181121_QuickCap_H4_MinusH_01.csv
96,0.0633564615384615,20.16,181121_QuickCap_H4_MinusH_01.csv
97,0.0636976893203883,20.37,181121_QuickCap_H4_MinusH_01.csv
98,0.0628265294117647,20.58,181121_QuickCap_H4_MinusH_01.csv
99,0.0629730099009901,20.79,181121_QuickCap_H4_MinusH_01.csv
100,0.06358179,21,181121_QuickCap_H4_MinusH_01.csv
1,0.00590165829145729,0.21,181121_QuickCap_H4_MinusH_02.csv
2,0.00952756060606061,0.42,181121_QuickCap_H4_MinusH_02.csv
3,0.0123109137055838,0.63,181121_QuickCap_H4_MinusH_02.csv
4,0.013960387755102,0.84,181121_QuickCap_H4_MinusH_02.csv
5,0.0155652358974359,1.05,181121_QuickCap_H4_MinusH_02.csv
6,0.0169462783505155,1.26,181121_QuickCap_H4_MinusH_02.csv
7,0.018475518134715,1.47,181121_QuickCap_H4_MinusH_02.csv
8,0.0201757916666667,1.68,181121_QuickCap_H4_MinusH_02.csv
9,0.022570387434555,1.89,181121_QuickCap_H4_MinusH_02.csv
10,0.0245029,2.1,181121_QuickCap_H4_MinusH_02.csv
