V1,MSD,taus,experiment
1,0.00506150251256281,0.21,180705_QuickCap_I1atU3Minus_08.csv
2,0.00794549494949495,0.42,180705_QuickCap_I1atU3Minus_08.csv
3,0.00939383248730964,0.63,180705_QuickCap_I1atU3Minus_08.csv
4,0.0104779540816327,0.84,180705_QuickCap_I1atU3Minus_08.csv
5,0.0122826358974359,1.05,180705_QuickCap_I1atU3Minus_08.csv
6,0.0131713969072165,1.26,180705_QuickCap_I1atU3Minus_08.csv
7,0.0146863367875648,1.47,180705_QuickCap_I1atU3Minus_08.csv
8,0.015346765625,1.68,180705_QuickCap_I1atU3Minus_08.csv
9,0.016102832460733,1.89,180705_QuickCap_I1atU3Minus_08.csv
10,0.0167246263157895,2.1,180705_QuickCap_I1atU3Minus_08.csv
11,0.0170851428571429,2.31,180705_QuickCap_I1atU3Minus_08.csv
12,0.017334670212766,2.52,180705_QuickCap_I1atU3Minus_08.csv
13,0.018518486631016,2.73,180705_QuickCap_I1atU3Minus_08.csv
14,0.019254123655914,2.94,180705_QuickCap_I1atU3Minus_08.csv
15,0.0194733567567568,3.15,180705_QuickCap_I1atU3Minus_08.csv
16,0.020462152173913,3.36,180705_QuickCap_I1atU3Minus_08.csv
17,0.0213410601092896,3.57,180705_QuickCap_I1atU3Minus_08.csv
18,0.0224127252747253,3.78,180705_QuickCap_I1atU3Minus_08.csv
19,0.0220929447513812,3.99,180705_QuickCap_I1atU3Minus_08.csv
20,0.0222418888888889,4.2,180705_QuickCap_I1atU3Minus_08.csv
21,0.0221048044692737,4.41,180705_QuickCap_I1atU3Minus_08.csv
22,0.0219020786516854,4.62,180705_QuickCap_I1atU3Minus_08.csv
23,0.0213942033898305,4.83,180705_QuickCap_I1atU3Minus_08.csv
24,0.0223389602272727,5.04,180705_QuickCap_I1atU3Minus_08.csv
25,0.0232581885714286,5.25,180705_QuickCap_I1atU3Minus_08.csv
26,0.0233191781609195,5.46,180705_QuickCap_I1atU3Minus_08.csv
27,0.0226070867052023,5.67,180705_QuickCap_I1atU3Minus_08.csv
28,0.0227586279069767,5.88,180705_QuickCap_I1atU3Minus_08.csv
29,0.0233338187134503,6.09,180705_QuickCap_I1atU3Minus_08.csv
30,0.0226459411764706,6.3,180705_QuickCap_I1atU3Minus_08.csv
31,0.0221352366863905,6.51,180705_QuickCap_I1atU3Minus_08.csv
32,0.0225054226190476,6.72,180705_QuickCap_I1atU3Minus_08.csv
33,0.0230123113772455,6.93,180705_QuickCap_I1atU3Minus_08.csv
