V1,MSD,taus,experiment
1,0.00656091457286432,0.21,180705_QuickCap_I1atU3Plus_06.csv
2,0.00970779292929293,0.42,180705_QuickCap_I1atU3Plus_06.csv
3,0.0119744568527919,0.63,180705_QuickCap_I1atU3Plus_06.csv
4,0.0133188826530612,0.84,180705_QuickCap_I1atU3Plus_06.csv
5,0.0142153435897436,1.05,180705_QuickCap_I1atU3Plus_06.csv
6,0.0156271082474227,1.26,180705_QuickCap_I1atU3Plus_06.csv
7,0.0160865077720207,1.47,180705_QuickCap_I1atU3Plus_06.csv
8,0.017819703125,1.68,180705_QuickCap_I1atU3Plus_06.csv
9,0.0194235811518325,1.89,180705_QuickCap_I1atU3Plus_06.csv
10,0.0201318421052632,2.1,180705_QuickCap_I1atU3Plus_06.csv
11,0.0203725238095238,2.31,180705_QuickCap_I1atU3Plus_06.csv
12,0.0213532074468085,2.52,180705_QuickCap_I1atU3Plus_06.csv
13,0.022250128342246,2.73,180705_QuickCap_I1atU3Plus_06.csv
14,0.0225428709677419,2.94,180705_QuickCap_I1atU3Plus_06.csv
15,0.023759427027027,3.15,180705_QuickCap_I1atU3Plus_06.csv
16,0.0237842010869565,3.36,180705_QuickCap_I1atU3Plus_06.csv
17,0.0242701857923497,3.57,180705_QuickCap_I1atU3Plus_06.csv
18,0.0246617197802198,3.78,180705_QuickCap_I1atU3Plus_06.csv
19,0.0239990165745856,3.99,180705_QuickCap_I1atU3Plus_06.csv
20,0.0238912944444444,4.2,180705_QuickCap_I1atU3Plus_06.csv
21,0.0236672011173184,4.41,180705_QuickCap_I1atU3Plus_06.csv
22,0.0224502921348315,4.62,180705_QuickCap_I1atU3Plus_06.csv
23,0.0221653333333333,4.83,180705_QuickCap_I1atU3Plus_06.csv
24,0.0220450681818182,5.04,180705_QuickCap_I1atU3Plus_06.csv
25,0.02272792,5.25,180705_QuickCap_I1atU3Plus_06.csv
26,0.0235274827586207,5.46,180705_QuickCap_I1atU3Plus_06.csv
27,0.0228778612716763,5.67,180705_QuickCap_I1atU3Plus_06.csv
28,0.0234911569767442,5.88,180705_QuickCap_I1atU3Plus_06.csv
29,0.0238532631578947,6.09,180705_QuickCap_I1atU3Plus_06.csv
30,0.0238932411764706,6.3,180705_QuickCap_I1atU3Plus_06.csv
31,0.0248277278106509,6.51,180705_QuickCap_I1atU3Plus_06.csv
32,0.0255256428571429,6.72,180705_QuickCap_I1atU3Plus_06.csv
33,0.0258371377245509,6.93,180705_QuickCap_I1atU3Plus_06.csv
34,0.0263495240963855,7.14,180705_QuickCap_I1atU3Plus_06.csv
35,0.0259179939393939,7.35,180705_QuickCap_I1atU3Plus_06.csv
36,0.0269068414634146,7.56,180705_QuickCap_I1atU3Plus_06.csv
37,0.0285043987730061,7.77,180705_QuickCap_I1atU3Plus_06.csv
38,0.0284717962962963,7.98,180705_QuickCap_I1atU3Plus_06.csv
39,0.0286348322981366,8.19,180705_QuickCap_I1atU3Plus_06.csv
40,0.02925414375,8.4,180705_QuickCap_I1atU3Plus_06.csv
41,0.0292289371069182,8.61,180705_QuickCap_I1atU3Plus_06.csv
42,0.0291891772151899,8.82,180705_QuickCap_I1atU3Plus_06.csv
43,0.0289892929936306,9.03,180705_QuickCap_I1atU3Plus_06.csv
44,0.0301921602564103,9.24,180705_QuickCap_I1atU3Plus_06.csv
45,0.0311164322580645,9.45,180705_QuickCap_I1atU3Plus_06.csv
46,0.0300486168831169,9.66,180705_QuickCap_I1atU3Plus_06.csv
47,0.0307303660130719,9.87,180705_QuickCap_I1atU3Plus_06.csv
48,0.0312534671052632,10.08,180705_QuickCap_I1atU3Plus_06.csv
49,0.0322596556291391,10.29,180705_QuickCap_I1atU3Plus_06.csv
50,0.0321613466666667,10.5,180705_QuickCap_I1atU3Plus_06.csv
51,0.0312845033557047,10.71,180705_QuickCap_I1atU3Plus_06.csv
52,0.0300847905405405,10.92,180705_QuickCap_I1atU3Plus_06.csv
53,0.0301297551020408,11.13,180705_QuickCap_I1atU3Plus_06.csv
54,0.0305892328767123,11.34,180705_QuickCap_I1atU3Plus_06.csv
55,0.0309422620689655,11.55,180705_QuickCap_I1atU3Plus_06.csv
56,0.031437125,11.76,180705_QuickCap_I1atU3Plus_06.csv
57,0.0310381608391608,11.97,180705_QuickCap_I1atU3Plus_06.csv
58,0.0318900492957746,12.18,180705_QuickCap_I1atU3Plus_06.csv
59,0.0313326453900709,12.39,180705_QuickCap_I1atU3Plus_06.csv
60,0.0312184142857143,12.6,180705_QuickCap_I1atU3Plus_06.csv
61,0.0320269928057554,12.81,180705_QuickCap_I1atU3Plus_06.csv
62,0.032221115942029,13.02,180705_QuickCap_I1atU3Plus_06.csv
63,0.0319521897810219,13.23,180705_QuickCap_I1atU3Plus_06.csv
64,0.0318759485294118,13.44,180705_QuickCap_I1atU3Plus_06.csv
65,0.0324610444444444,13.65,180705_QuickCap_I1atU3Plus_06.csv
66,0.0341482014925373,13.86,180705_QuickCap_I1atU3Plus_06.csv
67,0.0358495488721804,14.07,180705_QuickCap_I1atU3Plus_06.csv
68,0.0364753181818182,14.28,180705_QuickCap_I1atU3Plus_06.csv
69,0.0377674809160305,14.49,180705_QuickCap_I1atU3Plus_06.csv
70,0.0369996,14.7,180705_QuickCap_I1atU3Plus_06.csv
71,0.036624519379845,14.91,180705_QuickCap_I1atU3Plus_06.csv
72,0.0373512890625,15.12,180705_QuickCap_I1atU3Plus_06.csv
73,0.0362689527559055,15.33,180705_QuickCap_I1atU3Plus_06.csv
74,0.0366831587301587,15.54,180705_QuickCap_I1atU3Plus_06.csv
75,0.0366706,15.75,180705_QuickCap_I1atU3Plus_06.csv
76,0.0373985967741935,15.96,180705_QuickCap_I1atU3Plus_06.csv
77,0.0382381300813008,16.17,180705_QuickCap_I1atU3Plus_06.csv
78,0.039767368852459,16.38,180705_QuickCap_I1atU3Plus_06.csv
79,0.0400155537190083,16.59,180705_QuickCap_I1atU3Plus_06.csv
80,0.0414025416666667,16.8,180705_QuickCap_I1atU3Plus_06.csv
81,0.0423967478991597,17.01,180705_QuickCap_I1atU3Plus_06.csv
82,0.0434550847457627,17.22,180705_QuickCap_I1atU3Plus_06.csv
83,0.0428004444444444,17.43,180705_QuickCap_I1atU3Plus_06.csv
84,0.0419131120689655,17.64,180705_QuickCap_I1atU3Plus_06.csv
85,0.0422402956521739,17.85,180705_QuickCap_I1atU3Plus_06.csv
86,0.0422926403508772,18.06,180705_QuickCap_I1atU3Plus_06.csv
87,0.0428698584070796,18.27,180705_QuickCap_I1atU3Plus_06.csv
88,0.0444352053571429,18.48,180705_QuickCap_I1atU3Plus_06.csv
89,0.0450597567567568,18.69,180705_QuickCap_I1atU3Plus_06.csv
90,0.0463321090909091,18.9,180705_QuickCap_I1atU3Plus_06.csv
91,0.0462714036697248,19.11,180705_QuickCap_I1atU3Plus_06.csv
92,0.0463506481481481,19.32,180705_QuickCap_I1atU3Plus_06.csv
93,0.0480494859813084,19.53,180705_QuickCap_I1atU3Plus_06.csv
94,0.0478702830188679,19.74,180705_QuickCap_I1atU3Plus_06.csv
95,0.0483255238095238,19.95,180705_QuickCap_I1atU3Plus_06.csv
96,0.0481984615384615,20.16,180705_QuickCap_I1atU3Plus_06.csv
97,0.0481396796116505,20.37,180705_QuickCap_I1atU3Plus_06.csv
98,0.0483271568627451,20.58,180705_QuickCap_I1atU3Plus_06.csv
99,0.0491355940594059,20.79,180705_QuickCap_I1atU3Plus_06.csv
100,0.05077079,21,180705_QuickCap_I1atU3Plus_06.csv
1,0.00524371859296482,0.21,180705_QuickCap_I1atU3Plus_07.csv
2,0.00840242929292929,0.42,180705_QuickCap_I1atU3Plus_07.csv
3,0.010429,0.63,180705_QuickCap_I1atU3Plus_07.csv
4,0.01229075,0.84,180705_QuickCap_I1atU3Plus_07.csv
5,0.0138193794871795,1.05,180705_QuickCap_I1atU3Plus_07.csv
6,0.0147391288659794,1.26,180705_QuickCap_I1atU3Plus_07.csv
7,0.0159289274611399,1.47,180705_QuickCap_I1atU3Plus_07.csv
8,0.016249125,1.68,180705_QuickCap_I1atU3Plus_07.csv
9,0.0168515497382199,1.89,180705_QuickCap_I1atU3Plus_07.csv
10,0.0180154157894737,2.1,180705_QuickCap_I1atU3Plus_07.csv
11,0.018809,2.31,180705_QuickCap_I1atU3Plus_07.csv
12,0.0197330744680851,2.52,180705_QuickCap_I1atU3Plus_07.csv
13,0.0204390427807487,2.73,180705_QuickCap_I1atU3Plus_07.csv
14,0.0212403387096774,2.94,180705_QuickCap_I1atU3Plus_07.csv
15,0.0221563837837838,3.15,180705_QuickCap_I1atU3Plus_07.csv
16,0.0224358043478261,3.36,180705_QuickCap_I1atU3Plus_07.csv
17,0.0228167868852459,3.57,180705_QuickCap_I1atU3Plus_07.csv
18,0.0231869065934066,3.78,180705_QuickCap_I1atU3Plus_07.csv
19,0.0233641546961326,3.99,180705_QuickCap_I1atU3Plus_07.csv
20,0.0240082222222222,4.2,180705_QuickCap_I1atU3Plus_07.csv
21,0.0243256145251397,4.41,180705_QuickCap_I1atU3Plus_07.csv
22,0.0249451629213483,4.62,180705_QuickCap_I1atU3Plus_07.csv
23,0.0248411807909605,4.83,180705_QuickCap_I1atU3Plus_07.csv
24,0.0250546079545455,5.04,180705_QuickCap_I1atU3Plus_07.csv
25,0.0260387257142857,5.25,180705_QuickCap_I1atU3Plus_07.csv
26,0.0271975747126437,5.46,180705_QuickCap_I1atU3Plus_07.csv
27,0.0274929190751445,5.67,180705_QuickCap_I1atU3Plus_07.csv
28,0.0287885697674419,5.88,180705_QuickCap_I1atU3Plus_07.csv
29,0.0295860701754386,6.09,180705_QuickCap_I1atU3Plus_07.csv
30,0.0297191352941176,6.3,180705_QuickCap_I1atU3Plus_07.csv
31,0.0296965443786982,6.51,180705_QuickCap_I1atU3Plus_07.csv
32,0.0291346607142857,6.72,180705_QuickCap_I1atU3Plus_07.csv
33,0.0289409940119761,6.93,180705_QuickCap_I1atU3Plus_07.csv
34,0.0291203855421687,7.14,180705_QuickCap_I1atU3Plus_07.csv
35,0.0299678666666667,7.35,180705_QuickCap_I1atU3Plus_07.csv
