V1,MSD,taus,experiment
1,0.00761943718592965,0.21,190306_QuickCap_U3alone_MinusH_03.csv
2,0.0103202070707071,0.42,190306_QuickCap_U3alone_MinusH_03.csv
3,0.0124792385786802,0.63,190306_QuickCap_U3alone_MinusH_03.csv
4,0.0139459540816327,0.84,190306_QuickCap_U3alone_MinusH_03.csv
5,0.0145587743589744,1.05,190306_QuickCap_U3alone_MinusH_03.csv
6,0.0146897422680412,1.26,190306_QuickCap_U3alone_MinusH_03.csv
7,0.0143157564766839,1.47,190306_QuickCap_U3alone_MinusH_03.csv
8,0.014590875,1.68,190306_QuickCap_U3alone_MinusH_03.csv
9,0.0150451413612565,1.89,190306_QuickCap_U3alone_MinusH_03.csv
10,0.0167648631578947,2.1,190306_QuickCap_U3alone_MinusH_03.csv
11,0.0179595238095238,2.31,190306_QuickCap_U3alone_MinusH_03.csv
12,0.0201045744680851,2.52,190306_QuickCap_U3alone_MinusH_03.csv
13,0.0216281871657754,2.73,190306_QuickCap_U3alone_MinusH_03.csv
14,0.0215850860215054,2.94,190306_QuickCap_U3alone_MinusH_03.csv
15,0.0223101351351351,3.15,190306_QuickCap_U3alone_MinusH_03.csv
16,0.021980527173913,3.36,190306_QuickCap_U3alone_MinusH_03.csv
17,0.0217250983606557,3.57,190306_QuickCap_U3alone_MinusH_03.csv
18,0.0223818516483517,3.78,190306_QuickCap_U3alone_MinusH_03.csv
19,0.0234664033149171,3.99,190306_QuickCap_U3alone_MinusH_03.csv
20,0.0236062222222222,4.2,190306_QuickCap_U3alone_MinusH_03.csv
21,0.0240393966480447,4.41,190306_QuickCap_U3alone_MinusH_03.csv
22,0.0255414887640449,4.62,190306_QuickCap_U3alone_MinusH_03.csv
23,0.0264342598870057,4.83,190306_QuickCap_U3alone_MinusH_03.csv
24,0.0282019204545455,5.04,190306_QuickCap_U3alone_MinusH_03.csv
25,0.0283286628571429,5.25,190306_QuickCap_U3alone_MinusH_03.csv
26,0.0277872068965517,5.46,190306_QuickCap_U3alone_MinusH_03.csv
27,0.0279049479768786,5.67,190306_QuickCap_U3alone_MinusH_03.csv
28,0.0290068488372093,5.88,190306_QuickCap_U3alone_MinusH_03.csv
29,0.0297717134502924,6.09,190306_QuickCap_U3alone_MinusH_03.csv
30,0.0295067823529412,6.3,190306_QuickCap_U3alone_MinusH_03.csv
31,0.0301432485207101,6.51,190306_QuickCap_U3alone_MinusH_03.csv
32,0.0319376547619048,6.72,190306_QuickCap_U3alone_MinusH_03.csv
33,0.0338172874251497,6.93,190306_QuickCap_U3alone_MinusH_03.csv
34,0.0338316024096386,7.14,190306_QuickCap_U3alone_MinusH_03.csv
35,0.0348002121212121,7.35,190306_QuickCap_U3alone_MinusH_03.csv
36,0.0355030487804878,7.56,190306_QuickCap_U3alone_MinusH_03.csv
37,0.0359059018404908,7.77,190306_QuickCap_U3alone_MinusH_03.csv
38,0.0363739814814815,7.98,190306_QuickCap_U3alone_MinusH_03.csv
39,0.0367314161490683,8.19,190306_QuickCap_U3alone_MinusH_03.csv
40,0.03755043125,8.4,190306_QuickCap_U3alone_MinusH_03.csv
41,0.0379426226415094,8.61,190306_QuickCap_U3alone_MinusH_03.csv
42,0.0384908164556962,8.82,190306_QuickCap_U3alone_MinusH_03.csv
43,0.0389019108280255,9.03,190306_QuickCap_U3alone_MinusH_03.csv
44,0.0389135256410256,9.24,190306_QuickCap_U3alone_MinusH_03.csv
45,0.0389271483870968,9.45,190306_QuickCap_U3alone_MinusH_03.csv
46,0.0387287922077922,9.66,190306_QuickCap_U3alone_MinusH_03.csv
47,0.0372854509803922,9.87,190306_QuickCap_U3alone_MinusH_03.csv
48,0.0371374605263158,10.08,190306_QuickCap_U3alone_MinusH_03.csv
49,0.0374466357615894,10.29,190306_QuickCap_U3alone_MinusH_03.csv
50,0.0369113133333333,10.5,190306_QuickCap_U3alone_MinusH_03.csv
51,0.038102322147651,10.71,190306_QuickCap_U3alone_MinusH_03.csv
52,0.0385359594594595,10.92,190306_QuickCap_U3alone_MinusH_03.csv
53,0.0391838775510204,11.13,190306_QuickCap_U3alone_MinusH_03.csv
54,0.0395420342465753,11.34,190306_QuickCap_U3alone_MinusH_03.csv
55,0.0388058965517241,11.55,190306_QuickCap_U3alone_MinusH_03.csv
56,0.0374279513888889,11.76,190306_QuickCap_U3alone_MinusH_03.csv
57,0.0358359160839161,11.97,190306_QuickCap_U3alone_MinusH_03.csv
58,0.0358511830985916,12.18,190306_QuickCap_U3alone_MinusH_03.csv
59,0.0356875886524823,12.39,190306_QuickCap_U3alone_MinusH_03.csv
60,0.0360046642857143,12.6,190306_QuickCap_U3alone_MinusH_03.csv
61,0.0357494460431655,12.81,190306_QuickCap_U3alone_MinusH_03.csv
62,0.036459115942029,13.02,190306_QuickCap_U3alone_MinusH_03.csv
63,0.0370403868613139,13.23,190306_QuickCap_U3alone_MinusH_03.csv
64,0.0364750073529412,13.44,190306_QuickCap_U3alone_MinusH_03.csv
65,0.0366784148148148,13.65,190306_QuickCap_U3alone_MinusH_03.csv
66,0.0360352014925373,13.86,190306_QuickCap_U3alone_MinusH_03.csv
67,0.035390947368421,14.07,190306_QuickCap_U3alone_MinusH_03.csv
68,0.0350906136363636,14.28,190306_QuickCap_U3alone_MinusH_03.csv
69,0.0354173740458015,14.49,190306_QuickCap_U3alone_MinusH_03.csv
70,0.0372013923076923,14.7,190306_QuickCap_U3alone_MinusH_03.csv
71,0.0376472790697674,14.91,190306_QuickCap_U3alone_MinusH_03.csv
72,0.0393354921875,15.12,190306_QuickCap_U3alone_MinusH_03.csv
73,0.0380205354330709,15.33,190306_QuickCap_U3alone_MinusH_03.csv
74,0.0399675714285714,15.54,190306_QuickCap_U3alone_MinusH_03.csv
75,0.039160464,15.75,190306_QuickCap_U3alone_MinusH_03.csv
76,0.0386865,15.96,190306_QuickCap_U3alone_MinusH_03.csv
77,0.0380897642276423,16.17,190306_QuickCap_U3alone_MinusH_03.csv
